query_type,query,rank,track_id,track_name,artists,album_name,genres,popularity,duration,explicit,similarity_score,why_similar,method
popularity_baseline,genre=rock,1,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",piano; pop; rock,96,2:28,False,,#1 most popular track in the 'rock' genre (popularity 96/100),popularity_baseline
popularity_baseline,genre=rock,2,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,alt-rock; alternative; pop; rock,93,4:00,False,,#2 most popular track in the 'rock' genre (popularity 93/100),popularity_baseline
popularity_baseline,genre=rock,3,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,garage; indie; rock,92,3:04,False,,#3 most popular track in the 'rock' genre (popularity 92/100),popularity_baseline
popularity_baseline,genre=rock,4,7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,Chit Chat,rock,90,3:17,False,,#4 most popular track in the 'rock' genre (popularity 90/100),popularity_baseline
popularity_baseline,genre=rock,5,75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,piano; pop; r-n-b; rock; singer-songwriter; songwriter,90,4:59,False,,#5 most popular track in the 'rock' genre (popularity 90/100),popularity_baseline
track,Smells Like Teen Spirit - Nirvana,1,2RsAajgo0g7bMCHxwH3Sk0,Come As You Are,Nirvana,Nevermind (Remastered),alt-rock; alternative; grunge; rock,79,3:39,False,0.9536,"Similar acousticness (0.00 vs 0.00), instrumentalness (0.00 vs 0.00), danceability (0.50 vs 0.50); shares the 'alt-rock' genre",content_based
track,Smells Like Teen Spirit - Nirvana,2,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,alt-rock; alternative; rock,83,3:19,False,0.8786,"Similar acousticness (0.00 vs 0.01), instrumentalness (0.00 vs 0.00), speechiness (0.06 vs 0.06); shares the 'alt-rock' genre",content_based
track,Smells Like Teen Spirit - Nirvana,3,1bOENKlPYEDXyH9kLFUsnj,Animals,Nickelback,Timeless Rock Hits,alt-rock; alternative; grunge; metal; rock,4,3:06,False,0.8682,"Similar acousticness (0.00 vs 0.00), speechiness (0.06 vs 0.06), instrumentalness (0.00 vs 0.03); shares the 'alt-rock' genre",content_based
track,Smells Like Teen Spirit - Nirvana,4,55yvzYuvJYG2RUEnMK78tr,About A Girl,Nirvana,Nirvana,alt-rock; alternative; grunge,74,2:47,False,0.8572,"Similar acousticness (0.00 vs 0.00), loudness (-4.6 dB vs -4.5 dB), instrumentalness (0.00 vs 0.00); shares the 'alt-rock' genre",content_based
track,Smells Like Teen Spirit - Nirvana,5,5ugV3rhvi2h6l52e1cIfLw,Kryptonite,3 Doors Down,Fishing Music,alt-rock; alternative; grunge; metal; rock,0,3:55,False,0.854,"Similar acousticness (0.00 vs 0.00), instrumentalness (0.00 vs 0.00), danceability (0.50 vs 0.54); shares the 'alt-rock' genre",content_based
